City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Eydhafushi,5.1,73.07,300.88,77,74,4.02,MV,1601165229
Thompson,55.74,-97.86,285.15,71,75,3.1,CA,1601165229
Carballo,43.21,-8.69,290.15,93,90,4.1,ES,1601165229
Mar del Plata,-38.0,-57.56,285.37,100,90,5.7,AR,1601165230
Ribeira Grande,38.52,-28.7,294.5,86,35,5.25,PT,1601165287
Dwārka,22.24,68.97,300.84,71,44,5.78,IN,1601165287
Ushuaia,-54.8,-68.3,276.15,74,40,9.3,AR,1601165287
Somotillo,13.04,-86.91,305.15,62,40,2.1,NI,1601164990
Fortuna,40.6,-124.16,294.82,77,75,6.7,US,1601165288
Ancud,-41.87,-73.82,282.59,89,71,2.86,CL,1601164996
Saldanha,-33.01,17.94,279.15,75,30,0.5,ZA,1601164993
Rikitea,-23.12,-134.97,296.79,83,0,6.37,PF,1601165232
Hermanus,-34.42,19.23,279.82,93,45,3.57,ZA,1601164993
Lagoa,39.05,-27.98,294.1,83,1,6.06,PT,1601165233
Jamestown,42.1,-79.24,293.15,72,1,2.6,US,1601165005
Nur-Sultan,51.18,71.45,274.15,74,40,1.0,KZ,1601165233
East London,-33.02,27.91,286.22,54,3,7.67,ZA,1601165233
Channel-Port aux Basques,47.57,-59.14,286.63,74,65,4.23,CA,1601165233
Pokhara,28.23,83.98,292.42,45,0,2.39,NP,1601165111
Chapada dos Guimarães,-15.46,-55.75,304.15,48,75,4.1,BR,1601165234
Rock Sound,24.9,-76.2,301.19,71,99,1.22,BS,1601165234
Carnarvon,-24.87,113.63,290.15,82,2,4.1,AU,1601165061
Punta Arenas,-53.15,-70.92,278.15,65,75,2.6,CL,1601165235
Havøysund,71.0,24.66,278.15,65,30,8.7,NO,1601165235
Ambovombe,-25.17,46.08,293.85,74,0,2.82,MG,1601165035
Mataura,-46.19,168.86,281.48,87,100,4.02,NZ,1601165236
Nikolskoye,59.7,30.79,286.48,87,11,3.0,RU,1601165236
Sørland,67.67,12.69,279.65,66,44,6.41,NO,1601165236
Pevek,69.7,170.31,275.68,91,100,3.79,RU,1601165229
New Norfolk,-42.78,147.06,284.82,67,37,1.34,AU,1601165234
Chokurdakh,70.63,147.92,278.32,64,98,5.69,RU,1601165237
Hasaki,35.73,140.83,293.15,93,75,3.1,JP,1601165237
Sungai Raya,0.7,108.9,297.01,92,100,0.99,ID,1601165035
Bredasdorp,-34.53,20.04,281.15,81,31,3.6,ZA,1601165238
Ginir,7.13,40.7,287.77,87,2,2.94,ET,1601165238
Madridejos,39.47,-3.53,288.15,56,5,3.13,ES,1601165238
Albany,42.6,-73.97,295.93,73,17,2.34,US,1601165238
Casian,11.04,119.71,301.94,76,100,4.76,PH,1601165238
Concepción del Oro,24.63,-101.42,296.01,23,30,3.1,MX,1601165239
Saskylakh,71.92,114.08,274.51,86,100,5.3,RU,1601165239
Cockburn Town,21.46,-71.14,301.69,69,16,5.33,TC,1601165239
Abu Samrah,35.3,37.18,291.51,85,0,2.62,SY,1601165239
Vardø,70.37,31.11,278.76,66,2,6.45,NO,1601165240
Torbay,47.67,-52.73,284.82,66,5,5.7,CA,1601165240
Penzance,50.12,-5.54,282.59,76,20,5.7,GB,1601165017
Taltal,-25.4,-70.48,286.14,76,15,2.8,CL,1601165240
Barrow,71.29,-156.79,273.15,96,75,5.1,US,1601165240
Flinders,-34.58,150.86,288.71,41,1,5.1,AU,1601165241
Tanout,14.97,8.89,301.81,48,80,6.6,NE,1601165241
Mogocha,53.73,119.77,277.7,83,7,3.89,RU,1601165241
Yulin,22.63,110.15,296.72,91,100,1.74,CN,1601165227
Jining,35.41,116.58,295.37,1,12,1.93,CN,1601164900
Kapaa,22.08,-159.32,303.15,62,20,4.6,US,1601165242
Atuona,-9.8,-139.03,298.88,74,3,6.37,PF,1601165242
Kavaratti,10.57,72.64,300.53,80,100,3.87,IN,1601165243
Province of Mantua,45.17,10.78,285.93,82,71,0.45,IT,1601165243
Yakeshi,49.28,120.73,285.16,77,75,3.09,CN,1601164981
Rodrigues Alves,-7.74,-72.65,301.15,78,20,1.0,BR,1601165244
Severo-Kuril'sk,50.68,156.12,283.46,67,98,1.9,RU,1601165244
Erzin,36.96,36.2,298.71,81,18,0.9,TR,1601164977
Faya,18.39,42.45,292.15,25,0,2.6,SA,1601165244
Meulaboh,4.14,96.13,297.58,80,87,2.11,ID,1601165033
Goderich,43.75,-81.72,297.59,75,79,7.96,CA,1601165245
Greenfield,42.96,-88.01,295.37,83,98,4.92,US,1601165246
Sur,22.57,59.53,301.63,50,0,3.36,OM,1601165020
Busselton,-33.65,115.33,287.04,85,90,1.91,AU,1601165246
Baculin,7.45,126.58,302.33,63,82,0.91,PH,1601165246
Chui,-33.7,-53.46,289.21,93,98,5.48,UY,1601165247
Den Helder,52.96,4.76,288.15,93,75,8.7,NL,1601165247
Airai,-8.93,125.41,295.34,50,96,1.9,TL,1601165247
Vaini,-21.2,-175.2,299.15,69,20,4.6,TO,1601165247
Saint-Philippe,-21.36,55.77,292.15,63,39,3.1,RE,1601165247
Port Elizabeth,-33.92,25.57,284.15,81,0,5.7,ZA,1601165248
Yarensk,62.17,49.09,282.04,95,10,2.11,RU,1601165248
Geraldton,-28.77,114.6,288.15,87,90,2.6,AU,1601164983
Port Hardy,50.7,-127.42,286.15,87,75,1.5,CA,1601165248
Gimli,50.63,-96.99,293.15,82,81,3.0,CA,1601165249
Champerico,14.3,-91.92,297.15,94,90,3.1,GT,1601165249
Manaus,-3.1,-60.02,297.15,94,75,1.0,BR,1601165249
Puerto Ayora,-0.74,-90.35,293.71,86,33,2.24,EC,1601165249
Bethel,41.37,-73.41,294.15,77,75,1.5,US,1601165250
George Town,5.41,100.34,299.15,78,40,2.1,MY,1601165058
Mīrābād,30.44,61.84,293.62,23,0,6.08,AF,1601165250
Ixtapa,20.7,-105.2,303.71,79,75,2.6,MX,1601165250
Kamina,-8.74,24.99,293.05,82,8,1.98,CD,1601165250
Say,13.1,2.37,303.15,62,13,3.1,NE,1601165251
São João da Barra,-21.64,-41.05,296.58,86,0,8.88,BR,1601164972
Bajos de Haina,18.42,-70.03,300.37,89,46,2.24,DO,1601165183
Erenhot,43.65,111.98,288.51,45,0,2.92,CN,1601165225
Hobart,-42.88,147.33,284.82,46,40,7.2,AU,1601165252
Umluj,25.02,37.27,301.51,52,0,4.94,SA,1601164992
Katsuura,35.13,140.3,293.15,87,100,0.89,JP,1601164965
Punta de Piedra,7.62,-71.49,298.16,74,51,1.1,VE,1601165252
North Bend,43.41,-124.22,294.26,93,40,2.6,US,1601165253
Butaritari,3.07,172.79,301.08,74,98,4.73,KI,1601165253
Avarua,-21.21,-159.78,296.15,78,66,3.6,CK,1601165253
Bluff,-46.6,168.33,281.48,87,100,4.02,NZ,1601165254
Karratha,-20.74,116.85,297.84,25,67,3.31,AU,1601165171
Cape Town,-33.93,18.42,281.15,87,75,2.1,ZA,1601165127
Omsukchan,62.53,155.8,280.36,58,0,3.81,RU,1601165255
Nerchinskiy Zavod,51.31,119.61,280.32,71,0,5.58,RU,1601165255
Hilo,19.73,-155.09,301.15,61,90,3.59,US,1601164962
Epe,6.58,3.98,297.03,91,100,2.34,NG,1601164964
Lebu,-37.62,-73.65,283.35,87,46,3.8,CL,1601164996
Khatanga,71.97,102.5,278.6,88,100,9.07,RU,1601165256
Saint George,37.1,-113.58,307.15,8,1,6.2,US,1601165257
Aykhal,66.0,111.5,272.15,100,90,4.0,RU,1601165026
Lac du Bonnet,50.25,-96.06,293.15,82,64,1.23,CA,1601165258
Fort Nelson,58.81,-122.7,282.15,93,75,2.6,CA,1601165258
Itoman,26.12,127.67,296.15,83,75,4.6,JP,1601165016
Castro,-24.79,-50.01,292.42,57,1,1.78,BR,1601165259
Half Moon Bay,37.46,-122.43,300.15,68,1,8.2,US,1601165259
Ust-Nera,64.57,143.2,280.15,55,90,2.22,RU,1601165259
Longyearbyen,78.22,15.64,271.15,79,40,2.6,SJ,1601165259
Laas,46.62,10.7,277.04,68,69,1.5,IT,1601165053
Asău,46.43,26.4,285.93,98,71,2.37,RO,1601165260
Cidreira,-30.18,-50.21,291.19,96,98,7.32,BR,1601165260
Baraya,3.15,-75.05,304.15,48,32,3.6,CO,1601165260
Upernavik,72.79,-56.15,271.47,91,100,2.74,GL,1601165261
Guerrero Negro,27.98,-114.06,296.45,66,0,7.36,MX,1601165261
Hong Kong,22.29,114.16,300.93,86,100,9.32,HK,1601165202
Cabo San Lucas,22.89,-109.91,303.15,74,20,4.1,MX,1601165021
Puerto Escondido,15.85,-97.07,302.15,62,75,0.77,MX,1601165024
Alta Floresta,-9.88,-56.09,295.68,88,81,1.5,BR,1601165262
Dikson,73.51,80.55,276.6,78,100,12.04,RU,1601165262
Praia,14.92,-23.51,299.15,88,20,1.5,CV,1601165262
Aklavik,68.22,-135.01,274.15,73,90,4.6,CA,1601165262
Kasongo,-4.45,26.67,295.42,81,38,1.19,CD,1601165263
Naze,28.37,129.48,299.15,78,75,5.1,JP,1601165263
Nanortalik,60.14,-45.24,276.85,78,76,5.2,GL,1601165263
Muyezerskiy,63.93,31.65,283.33,92,99,1.11,RU,1601165263
Kupang,-10.17,123.58,301.15,58,20,3.1,ID,1601165033
Souillac,-20.52,57.52,294.15,77,75,2.6,MU,1601165264
Dolovo,44.9,20.88,285.15,87,84,1.0,RS,1601165264
Hithadhoo,-0.6,73.08,301.11,68,96,2.01,MV,1601165264
Biak,-0.91,122.88,300.71,68,99,1.12,ID,1601165264
Zogno,45.79,9.66,284.26,65,83,3.1,IT,1601165265
Mackay,-21.15,149.2,299.82,69,40,7.2,AU,1601165188
Aksay,47.26,39.87,290.15,45,82,9.0,RU,1601165265
São Filipe,14.9,-24.5,300.41,84,45,3.18,CV,1601165265
Trairi,-3.28,-39.27,298.17,82,0,4.58,BR,1601165265
Pemangkat,1.17,108.97,296.63,95,100,3.07,ID,1601165035
Yangi Marg`ilon,40.43,71.72,288.15,54,49,1.0,UZ,1601165266
Nālūt,30.33,10.85,294.86,65,29,5.41,LY,1601165266
Tuatapere,-46.13,167.68,281.48,87,99,4.02,NZ,1601165266
Batagay-Alyta,67.8,130.41,276.37,76,73,0.86,RU,1601165267
Pisco,-13.7,-76.22,291.48,77,6,7.2,PE,1601165267
Beloha,-25.17,45.05,292.84,83,0,1.91,MG,1601165267
Imbituba,-28.24,-48.67,294.15,88,40,4.6,BR,1601164971
Tuktoyaktuk,69.45,-133.04,276.15,93,90,7.2,CA,1601165268
Qaanaaq,77.48,-69.36,262.56,77,76,2.57,GL,1601165268
Provideniya,64.38,-173.3,276.26,72,61,5.15,RU,1601165268
Kaitangata,-46.28,169.85,283.71,64,100,5.81,NZ,1601165268
Mahébourg,-20.41,57.7,294.15,77,75,2.6,MU,1601165011
Fukuechō,32.69,128.84,295.15,68,20,9.3,JP,1601165235
Verkhoyansk,67.54,133.38,279.04,80,86,1.54,RU,1601165269
Pangnirtung,66.15,-65.71,273.96,87,73,1.48,CA,1601165269
San Cristobal,7.77,-72.22,302.15,66,40,5.1,VE,1601165270
Clyde River,70.47,-68.59,270.15,92,90,5.1,CA,1601165270
Mahabalipuram,12.63,80.17,301.15,88,75,3.41,IN,1601165270
Sinazongwe,-17.26,27.46,298.6,40,0,0.89,ZM,1601165270
Tecpan,14.76,-90.99,293.71,88,75,2.1,GT,1601165271
Arraial do Cabo,-22.97,-42.03,296.35,85,0,9.95,BR,1601165271
Russell,32.35,-85.2,300.15,78,1,0.52,US,1601165271
Kunya,12.22,8.53,296.88,78,71,4.91,NG,1601165272
Oruzgan,32.83,66.0,281.65,47,0,1.71,AF,1601165272
Gushi,34.64,109.58,292.97,67,71,3.67,CN,1601164976
Beringovskiy,63.05,179.32,275.75,76,51,7.85,RU,1601165272
Digora,43.16,44.16,290.15,93,68,2.0,RU,1601165272
Daura,11.55,11.41,296.94,81,71,5.97,NG,1601165273
Puerto del Rosario,28.5,-13.86,296.15,78,20,7.2,ES,1601165273
Karoi,-16.81,29.69,293.28,32,0,1.56,ZW,1601165274
Nemuro,43.32,145.57,286.15,100,75,6.7,JP,1601165252
Port Blair,11.67,92.75,300.95,78,86,5.69,IN,1601165009
Murdochville,48.96,-65.5,286.18,90,100,6.25,CA,1601165275
Mount Isa,-20.73,139.5,297.15,15,0,6.2,AU,1601165275
Naryan-Mar,67.67,53.09,282.24,91,78,0.95,RU,1601165076
Tshikapa,-6.42,20.8,295.63,84,19,0.97,CD,1601165275
Gobabis,-22.45,18.97,284.32,40,0,2.05,NA,1601165276
Sobolevo,54.43,31.9,286.73,60,8,5.78,RU,1601165276
Fare,-16.7,-151.02,299.58,77,23,5.44,PF,1601165276
Lavrentiya,65.58,-171.0,276.18,77,87,7.36,RU,1601165276
Hay River,60.82,-115.8,282.15,81,90,2.6,CA,1601165277
Sittwe,20.15,92.9,299.9,86,75,3.21,MM,1601165277
Svetlaya,46.54,138.33,286.41,75,90,7.18,RU,1601165277
Jalu,29.03,21.55,297.93,70,0,3.87,LY,1601165278
Ivrea,45.47,7.88,283.15,57,79,0.45,IT,1601165278
Kamaishi,39.27,141.88,288.15,93,75,1.5,JP,1601165070
Vestmannaeyjar,63.44,-20.27,283.19,97,100,3.11,IS,1601165279
Lida,53.88,25.3,290.47,60,1,6.78,BY,1601165280
Yar-Sale,66.83,70.83,279.6,92,88,1.81,RU,1601165280
Tiksi,71.69,128.87,278.32,79,100,3.13,RU,1601165280
Bambous Virieux,-20.34,57.76,294.15,77,75,2.6,MU,1601165280
Bilma,18.69,12.92,302.39,14,0,0.59,NE,1601165281
Iberia,29.95,-91.75,301.15,61,1,4.1,US,1601165281
General Pico,-35.66,-63.76,283.9,97,84,3.38,AR,1601165281
Coahuayana Viejo,18.73,-103.68,298.15,83,75,5.1,MX,1601165281
Mutsu,41.29,141.22,292.04,77,75,0.5,JP,1601165282
São José da Coroa Grande,-8.9,-35.15,296.87,87,99,3.15,BR,1601165282
Hofn,64.25,-15.21,282.22,95,100,3.01,IS,1601165282
Salalah,17.02,54.09,299.15,83,75,2.6,OM,1601165282
Shaoyang,27.23,111.45,289.7,93,100,1.55,CN,1601164466
Mirny,62.54,113.96,274.15,100,40,5.0,RU,1601165026
Siquijor,9.21,123.52,300.92,74,100,1.27,PH,1601165283
Bubaque,11.28,-15.83,300.48,81,89,4.11,GW,1601165283
Port Alfred,-33.59,26.89,284.8,62,0,7.64,ZA,1601164995
Larsnes,62.2,5.58,282.59,79,0,1.34,NO,1601165284
Kuytun,54.34,101.5,277.99,92,100,5.22,RU,1601165338
Ahipara,-35.17,173.17,290.12,69,84,6.63,NZ,1601165338
Macaé,-22.37,-41.79,298.15,83,0,4.6,BR,1601165338
San Patricio,19.22,-104.7,305.15,70,40,3.1,MX,1601165338
Senneterre,48.38,-77.23,289.15,100,90,4.1,CA,1601165339
Leshukonskoye,64.9,45.76,284.49,92,47,2.9,RU,1601165340
Japura,-0.32,102.35,295.29,96,100,1.29,ID,1601165340
Rosarito,32.33,-117.03,297.15,60,1,3.6,MX,1601165256
Khovd,48.01,91.64,275.82,72,89,0.78,MN,1601165340
Magadan,59.57,150.8,283.01,58,0,2.5,RU,1601165340
Mayumba,-3.43,10.66,296.84,84,100,3.71,GA,1601165341
Shūshtar,32.05,48.86,302.41,17,0,2.41,IR,1601165341
Te Anau,-45.42,167.72,280.15,77,84,3.77,NZ,1601165341
Luorong,24.41,109.61,292.03,91,100,2.89,CN,1601165342
Khanbari,27.37,87.2,293.11,67,74,0.96,NP,1601165342
Silvânia,-16.66,-48.61,303.15,38,0,1.98,BR,1601165342
Sasovo,54.35,41.92,283.16,53,3,4.23,RU,1601165342
Leningradskiy,69.38,178.42,273.81,95,99,4.69,RU,1601165343
Brae,60.4,-1.35,280.15,81,0,5.7,GB,1601165343
Noril'sk,69.35,88.2,280.15,100,90,11.0,RU,1601165343
Uyovu,-3.28,31.53,294.93,64,59,0.69,TZ,1601165343
Igarka,67.47,86.58,280.73,90,100,6.24,RU,1601165344
Formosa,-26.18,-58.18,308.15,36,9,4.1,AR,1601165344
Ekenäs,59.97,23.43,285.93,93,72,4.13,FI,1601165344
Vila Velha,-20.33,-40.29,298.71,83,0,6.7,BR,1601165344
Saint Paul Harbor,57.79,-152.41,283.15,76,75,3.6,US,1601165344
Iskateley,67.68,53.15,282.15,91,78,0.86,RU,1601165345
Deputatsky,69.3,139.9,277.98,68,17,3.47,RU,1601165345
Ouadda,8.08,22.4,293.26,92,100,0.77,CF,1601165345
Vila do Maio,15.13,-23.22,299.15,88,20,1.5,CV,1601165345
Raudeberg,61.99,5.14,282.59,80,0,5.81,NO,1601165346
Tezu,27.92,96.17,295.62,84,100,1.41,IN,1601165346
Bonthe,7.53,-12.51,297.04,89,100,2.49,SL,1601165346
Bālāghāt,21.8,80.18,295.44,84,0,0.43,IN,1601165347
Otradnoye,59.78,30.82,286.48,87,14,3.0,RU,1601165347
Hambantota,6.12,81.12,299.32,84,51,4.91,LK,1601165277
Buta,2.79,24.73,293.88,96,98,0.51,CD,1601165347
Isangel,-19.55,169.27,299.73,71,7,3.76,VU,1601165347
Singaraja,-8.11,115.09,300.94,61,58,2.26,ID,1601165348
Huarmey,-10.07,-78.15,289.7,82,6,4.15,PE,1601165348
Dunedin,-45.87,170.5,284.82,64,100,2.68,NZ,1601165329
Shache,38.42,77.24,288.32,33,100,3.57,CN,1601165348
Tigil',57.8,158.67,282.76,55,0,3.8,RU,1601165349
Matara,5.95,80.54,298.12,89,79,2.14,LK,1601165350
Buala,-8.14,159.59,302.99,68,18,3.74,SB,1601165350
Aberdeen,57.14,-2.1,281.15,75,90,5.1,GB,1601165350
Shenjiamen,29.96,122.3,295.75,73,84,3.89,CN,1601165351
Sulangan,11.14,123.72,301.79,76,31,2.84,PH,1601165351
Burnie,-41.07,145.92,285.93,53,6,8.05,AU,1601165351
Talara,-4.58,-81.27,290.16,85,5,5.83,PE,1601165351
Manokwari,-0.87,134.08,301.78,67,22,1.13,ID,1601165352
Port Moresby,-9.44,147.18,302.15,74,40,5.1,PG,1601165278
Tongling,30.95,117.78,292.88,83,52,2.62,CN,1601164695
Sturgeon Falls,46.36,-79.93,292.59,82,90,3.1,CA,1601165352
Cap-aux-Meules,47.38,-61.86,289.15,67,40,7.2,CA,1601165353
Olden,61.84,6.81,273.71,97,35,0.45,NO,1601165353
Yellowknife,62.46,-114.35,280.15,93,90,4.1,CA,1601165353
Pak Phanang,8.35,100.2,300.15,94,75,3.82,TH,1601165353
Klaksvík,62.23,-6.59,280.15,81,100,5.1,FO,1601165353
Ambilobe,-13.2,49.05,292.17,83,0,1.76,MG,1601165354
Saint-Pierre,-21.34,55.48,292.15,63,0,3.1,RE,1601165354
Eureka,40.8,-124.16,293.71,82,1,6.2,US,1601165354
Lensk,60.73,114.93,278.94,80,100,3.69,RU,1601165354
Padang,-0.95,100.35,297.18,80,100,2.43,ID,1601165204
Lata,40.16,-8.33,292.04,93,78,0.89,PT,1601165355
Kununurra,-15.77,128.73,303.15,62,31,3.1,AU,1601165355
Adrar,20.5,-10.07,308.5,10,0,2.65,MR,1601165356
Tura,25.52,90.22,296.4,98,100,2.92,IN,1601165205
Northam,51.03,-4.22,284.82,73,1,4.02,GB,1601165356
Navrongo,10.9,-1.09,297.61,87,84,1.84,GH,1601165356
Severnyy,50.68,36.55,289.15,38,2,7.0,RU,1601165357
Goroka,-6.08,145.39,292.45,83,90,0.69,PG,1601165357
Strzelce Krajeńskie,52.88,15.53,283.71,92,99,0.89,PL,1601165357
Khasan,42.43,130.64,288.36,80,2,2.29,RU,1601165357
Olean,42.08,-78.43,293.15,72,1,2.47,US,1601165357
Olafsvik,64.89,-23.71,281.22,88,57,3.86,IS,1601165358
Vysokogornyy,50.12,139.15,284.89,54,100,0.83,RU,1601165358
Imphal,24.82,93.95,293.5,93,92,0.24,IN,1601165358
Tasiilaq,65.61,-37.64,274.55,90,100,2.55,GL,1601165359
Kayerkan,69.35,87.76,280.15,100,90,11.0,RU,1601165359
Novyy Urgal,51.07,132.56,285.26,75,3,0.86,RU,1601165359
Juegang,32.32,121.19,295.1,71,1,4.33,CN,1601165360
Buin,-33.73,-70.75,287.15,58,0,5.1,CL,1601165360
Sosnogorsk,63.6,53.88,282.98,95,79,2.79,RU,1601165360
Hirara,24.8,125.28,299.15,78,75,5.7,JP,1601165360
Constitución,-35.33,-72.42,283.0,78,5,4.25,CL,1601165360
Zaraza,9.35,-65.32,297.56,92,93,2.19,VE,1601165361
Dodge City,37.75,-100.02,309.15,13,1,4.1,US,1601165361
Swan Hill,-35.34,143.55,286.23,60,2,3.18,AU,1601165361
Darhan,49.49,105.92,279.17,74,37,0.56,MN,1601165361
Perbaungan,3.57,98.96,296.27,89,64,1.09,ID,1601165362
Bathsheba,13.22,-59.52,300.15,83,40,4.1,BB,1601165362
Marystown,47.17,-55.15,284.82,100,49,4.58,CA,1601165362
Bengkulu,-3.8,102.27,297.58,85,99,2.54,ID,1601165239
Ilulissat,69.22,-51.1,273.15,98,100,4.6,GL,1601165363
Wanaka,-44.7,169.15,279.51,79,96,3.69,NZ,1601165363
Puerto Carreño,6.19,-67.49,299.61,80,31,2.62,CO,1601165363
Koslan,63.46,48.9,283.42,95,7,2.98,RU,1601165363
Buraidah,26.33,43.98,300.15,28,0,1.5,SA,1601165215
Peniche,39.36,-9.38,290.93,88,55,2.68,PT,1601165364
Harper,4.38,-7.72,297.44,89,62,3.04,LR,1601165364
Alofi,-19.06,-169.92,299.15,65,68,8.7,NU,1601165365
Rock Springs,41.59,-109.2,289.15,41,1,13.9,US,1601165365
Ormara,25.21,64.64,300.69,77,0,6.89,PK,1601165365
Krasnosel'kup,65.7,82.47,279.84,90,100,5.47,RU,1601165366
Port Keats,-14.25,129.55,303.92,60,65,1.36,AU,1601165366
Cayenne,4.93,-52.33,300.15,78,1,1.5,GF,1601165366
Cherskiy,68.75,161.3,278.07,71,2,8.31,RU,1601165366
Nieuw Amsterdam,5.88,-55.08,301.15,78,20,2.1,SR,1601165367
Grand-Santi,4.25,-54.38,298.85,76,82,0.8,GF,1601165367
Bosaso,11.28,49.18,302.35,73,12,2.07,SO,1601165367
Caravelas,-17.71,-39.25,294.6,86,0,2.1,BR,1601165367
Yulara,-25.24,130.99,291.15,23,0,7.2,AU,1601165368
Nantucket,41.28,-70.1,290.15,93,1,3.1,US,1601165368
Santa Cruz de La Palma,28.68,-17.76,297.15,73,75,7.7,ES,1601165368
Rio Grande,-32.03,-52.1,290.93,97,100,3.13,BR,1601165287
Santiago,-33.46,-70.65,287.15,58,0,5.1,CL,1601165293
Yuzhnyy,53.25,83.69,274.15,90,55,4.0,RU,1601165369
Luau,-10.71,22.22,294.93,56,0,1.51,AO,1601165369
Seminole,28.71,-81.21,302.15,70,1,3.6,US,1601165370
Pacific Grove,36.62,-121.92,295.93,69,1,5.7,US,1601165370
Marawi,8.0,124.29,298.71,82,75,1.79,PH,1601165370
Port Hedland,-20.32,118.57,298.15,53,10,5.1,AU,1601165370
Kruisfontein,-34.0,24.73,282.59,75,0,1.34,ZA,1601165371
Pervomayskoye,43.92,46.71,294.1,45,100,8.42,RU,1601165371
Grand Gaube,-20.01,57.66,293.71,79,14,2.24,MU,1601165371
Mwene-Ditu,-7.0,23.45,293.65,86,20,1.43,CD,1601165371
Talpa,28.83,-111.63,308.71,44,0,0.89,MX,1601165372
Omboué,-1.57,9.26,296.77,85,100,4.16,GA,1601165372
Krasnoarmeysk,51.02,45.7,283.15,44,0,1.79,RU,1601165372
Norman Wells,65.28,-126.83,281.15,65,75,3.1,CA,1601165372
Badnāwar,23.02,75.22,294.01,96,80,2.8,IN,1601165373
Vostok,46.49,135.88,283.64,62,36,1.96,RU,1601165374
Broken Hill,-31.95,141.43,284.15,62,1,4.6,AU,1601165375
Dumjor,22.64,88.22,299.15,94,40,1.44,IN,1601165375
Bowen,-20.02,148.23,299.15,61,0,4.1,AU,1601165114
Envira,-7.3,-70.22,298.19,75,22,1.04,BR,1601165375
Dudinka,69.41,86.18,280.15,100,90,11.0,RU,1601165376
Custódia,-8.09,-37.64,295.38,67,100,4.68,BR,1601165376
Monroe,43.15,-77.68,296.15,56,75,2.6,US,1601165377
Iqaluit,63.75,-68.51,271.15,86,90,4.1,CA,1601165377
Saint-Leu,-21.15,55.28,292.15,63,0,3.1,RE,1601165377
Tautira,-17.73,-149.15,303.15,62,20,4.6,PF,1601165377
Hamada,34.88,132.08,294.15,73,75,6.7,JP,1601165378
Samarai,-10.62,150.67,299.94,85,80,6.78,PG,1601165378
Sept-Îles,50.2,-66.38,280.93,75,75,3.6,CA,1601165378
Hohhot,40.81,111.65,287.15,87,40,1.0,CN,1601165380
Solnechnyy,50.72,136.63,286.38,68,0,1.47,RU,1601165380
Ust'-Kulom,61.69,53.69,281.45,95,0,1.9,RU,1601165380
Kahului,20.89,-156.47,305.15,52,40,10.3,US,1601165380
